Date,Value
2011-01-07,63
2011-01-14,60
2011-01-21,47
2011-01-28,43
2011-02-04,49
2011-02-11,56
2011-02-18,56
2011-02-25,42
2011-03-04,39
2011-03-11,26
2011-03-18,9
2011-03-25,19
2011-04-01,27
2011-04-08,37
2011-04-15,28
2011-04-21,30
2011-04-29,41
2011-05-06,27
2011-05-13,32
2011-05-20,22
2011-05-27,16
2011-06-03,9
2011-06-10,5
2011-06-17,7
2011-06-24,11
2011-07-01,34
2011-07-08,43
2011-07-15,32
2011-07-22,51
2011-07-29,16
2011-08-05,5
2011-08-12,6
2011-08-19,6
2011-08-26,12
2011-09-02,26
2011-09-09,25
2011-09-16,38
2011-09-23,28
2011-09-30,22
2011-10-07,31
2011-10-14,41
2011-10-21,66
2011-10-28,66
2011-11-04,60
2011-11-11,60
2011-11-18,46
2011-11-25,51
2011-12-02,67
2011-12-09,65
2011-12-16,60
2011-12-23,77
2011-12-30,75
2012-01-06,78
2012-01-13,83
2012-01-20,88
2012-01-27,82
2012-02-03,88
2012-02-10,83
2012-02-17,80
2012-02-24,79
2012-03-02,68
2012-03-09,70
2012-03-16,77
2012-03-23,71
2012-03-30,63
2012-04-05,55
2012-04-13,38
2012-04-20,35
2012-04-27,41
2012-05-04,41
2012-05-11,25
2012-05-18,12
2012-05-25,13
2012-06-01,10
2012-06-08,19
2012-06-15,35
2012-06-22,33
2012-06-29,53
2012-07-06,51
2012-07-13,45
2012-07-20,51
2012-07-27,61
2012-08-03,63
2012-08-10,70
2012-08-17,79
2012-08-24,70
2012-08-31,59
2012-09-07,83
2012-09-14,93
2012-09-21,93
2012-09-28,71
2012-10-05,78
2012-10-12,56
2012-10-19,56
2012-10-26,40
2012-11-02,50
2012-11-09,39
2012-11-16,28
2012-11-23,47
2012-11-30,50
2012-12-07,51
2012-12-14,57
2012-12-21,56
2012-12-28,66
2012-12-31,66
2013-01-04,82
2013-01-11,85
2013-01-18,89
2013-01-25,91
2013-02-01,88
2013-02-08,83
2013-02-15,84
2013-02-22,78
2013-03-01,60
2013-03-08,82
2013-03-15,77
2013-03-22,69
2013-03-28,72
2013-04-05,52
2013-04-12,57
2013-04-19,41
2013-04-26,53
2013-05-03,64
2013-05-10,77
2013-05-17,91
2013-05-24,75
2013-05-31,60
2013-06-07,40
2013-06-14,29
2013-06-21,19
2013-06-28,22
2013-07-05,38
2013-07-12,61
2013-07-19,68
2013-07-26,64
2013-08-02,62
2013-08-09,44
2013-08-16,39
2013-08-23,27
2013-08-30,20
2013-09-06,36
2013-09-13,48
2013-09-20,57
2013-09-27,41
2013-10-04,34
2013-10-11,31
2013-10-18,56
2013-10-25,62
2013-11-01,67
2013-11-08,68
2013-11-15,71
2013-11-22,68
2013-11-29,70
2013-12-06,63
2013-12-13,38
2013-12-20,52
2013-12-27,72
2013-12-31,77
2014-01-03,66
2014-01-10,66
2014-01-17,59
2014-01-24,27
2014-01-31,20
2014-02-07,22
2014-02-14,30
2014-02-21,48
2014-02-28,56
2014-03-07,81
2014-03-14,44
2014-03-21,56
2014-03-28,36
2014-04-04,49
2014-04-11,21
2014-04-17,28
2014-04-25,35
2014-05-02,32
2014-05-09,42
2014-05-16,28
2014-05-23,37
2014-05-30,45
2014-06-06,81
2014-06-13,85
2014-06-20,95
2014-06-27,76
2014-07-03,86
2014-07-11,57
2014-07-18,46
2014-07-25,34
2014-08-01,5
2014-08-08,10
2014-08-15,14
2014-08-22,37
2014-08-29,41
2014-09-05,50
2014-09-12,43
2014-09-19,36
2014-09-26,13
2014-10-03,5
2014-10-10,1
2014-10-17,7
2014-10-24,13
2014-10-31,32
2014-11-07,55
2014-11-14,53
2014-11-21,59
2014-11-28,59
2014-12-05,61
2014-12-12,31
2014-12-19,33
2014-12-26,48
2014-12-31,45
2015-01-02,37
2015-01-09,29
2015-01-16,26
2015-01-23,31
2015-01-30,25
2015-02-06,52
2015-02-13,73
2015-02-20,80
2015-02-27,74
2015-03-06,58
2015-03-13,39
2015-03-20,43
2015-03-27,36
2015-04-02,40
2015-04-10,56
2015-04-17,57
2015-04-24,66
2015-05-01,61
2015-05-08,58
2015-05-15,57
2015-05-22,60
2015-05-29,43
2015-06-05,40
2015-06-12,30
2015-06-19,30
2015-06-26,33
2015-07-02,16
2015-07-10,14
2015-07-17,34
2015-07-24,15
2015-07-31,20
2015-08-07,10
2015-08-14,11
2015-08-21,8
2015-08-28,14
2015-09-04,10
2015-09-11,14
2015-09-18,18
2015-09-25,18
2015-10-02,24
2015-10-09,43
2015-10-16,45
2015-10-23,59
2015-10-30,70
2015-11-06,71
2015-11-13,45
2015-11-20,54
2015-11-27,58
2015-12-04,58
2015-12-11,24
2015-12-18,29
2015-12-24,42
2015-12-31,45
2016-01-08,17
2016-01-15,10
2016-01-22,14
2016-01-29,27
2016-02-05,17
2016-02-12,24
2016-02-19,50
2016-02-26,57
2016-03-04,71
2016-03-11,75
2016-03-18,79
2016-03-24,66
2016-04-01,78
2016-04-08,68
2016-04-15,70
2016-04-22,74
2016-04-29,63
2016-05-06,61
2016-05-13,54
2016-05-20,56
2016-05-27,78
2016-06-03,75
2016-06-10,61
2016-06-17,53
2016-06-24,42
2016-07-01,71
2016-07-08,78
2016-07-15,89
2016-07-22,86
2016-07-29,79
2016-08-05,86
2016-08-12,75
2016-08-19,77
2016-08-26,63
2016-09-02,65
2016-09-09,43
2016-09-16,43
2016-09-23,54
2016-09-30,49
2016-10-07,51
2016-10-14,41
2016-10-21,43
2016-10-28,32
2016-11-04,14
2016-11-11,48
2016-11-18,61
2016-11-25,72
2016-12-02,71
2016-12-09,87
2016-12-16,84
2016-12-23,66
2016-12-30,58
2017-01-06,70
2017-01-13,57
2017-01-20,54
2017-01-27,59
2017-02-03,60
2017-02-10,69
2017-02-17,77
2017-02-24,68
2017-03-03,74
2017-03-10,66
2017-03-17,45
2017-03-24,30
2017-03-31,47
2017-04-07,40
2017-04-13,25
2017-04-21,35
2017-04-28,50
2017-05-05,47
2017-05-12,62
2017-05-19,49
2017-05-26,58
2017-06-02,57
2017-06-09,54
2017-06-16,50
2017-06-23,52
2017-06-30,49
2017-07-07,49
2017-07-14,64
2017-07-21,73
2017-07-28,70
2017-08-04,64
2017-08-11,28
2017-08-18,17
2017-08-25,27
2017-09-01,50
2017-09-08,38
2017-09-15,77
2017-09-22,70
2017-09-29,85
2017-10-06,92
2017-10-13,73
2017-10-20,90
2017-10-27,73
2017-11-03,66
2017-11-10,54
2017-11-17,44
2017-11-24,59
2017-12-01,70
2017-12-08,64
2017-12-15,68
2017-12-22,66
2017-12-29,53
2018-01-05,75
2018-01-12,79
2018-01-19,80
2018-01-26,79
2018-02-02,40
2018-02-09,10
2018-02-16,18
2018-02-23,18
2018-03-02,10
2018-03-09,44
2018-03-16,19
2018-03-23,7
2018-03-29,8
2018-04-06,9
2018-04-13,23
2018-04-20,38
2018-04-27,40
2018-05-04,40
2018-05-11,55
2018-05-18,52
2018-05-25,44
2018-06-01,52
2018-06-08,63
2018-06-15,61
2018-06-22,53
2018-06-29,34
2018-07-06,40
2018-07-13,47
2018-07-20,53
2018-07-27,67
2018-08-03,71
2018-08-10,60
2018-08-17,54
2018-08-24,68
2018-08-31,71
2018-09-07,52
2018-09-14,73
2018-09-21,75
2018-09-28,47
2018-10-05,33
2018-10-12,11
2018-10-19,14
2018-10-26,7
2018-11-02,8
2018-11-09,18
2018-11-16,10
2018-11-23,9
2018-11-30,22
2018-12-07,11
2018-12-14,8
2018-12-21,3
2018-12-28,12
2018-12-31,12
2019-01-04,16
2019-01-11,30
2019-01-18,51
2019-01-25,58
2019-02-01,61
2019-02-08,61
2019-02-15,70
2019-02-22,69
2019-03-01,72
2019-03-08,55
2019-03-15,65
2019-03-22,59
2019-03-29,49
2019-04-05,74
2019-04-12,74
2019-04-18,70
2019-04-26,72
2019-05-03,60
2019-05-10,44
2019-05-17,36
2019-05-24,27
2019-05-31,24
2019-06-07,32
2019-06-14,38
2019-06-21,50
2019-06-28,50
2019-07-05,61
2019-07-12,64
2019-07-19,44
2019-07-26,60
2019-08-02,36
2019-08-09,25
2019-08-16,20
2019-08-23,18
2019-08-30,23
2019-09-06,35
2019-09-13,68
2019-09-20,58
2019-09-27,52
2019-10-04,32
2019-10-11,42
2019-10-18,50
2019-10-25,62
2019-11-01,80
2019-11-08,91
2019-11-15,87
2019-11-22,69
2019-11-29,78
2019-12-06,70
2019-12-13,75
2019-12-20,91
2019-12-27,91
2019-12-31,93
2020-01-03,93
2020-01-10,91
2020-01-17,89
2020-01-24,62
2020-01-31,44
2020-02-07,57
2020-02-14,55
2020-02-21,44
2020-02-28,10
2020-03-06,6
2020-03-13,5
2020-03-20,8
2020-03-27,23
2020-04-03,22
2020-04-09,43
2020-04-17,44
2020-04-24,39
2020-05-01,42
2020-05-08,45
2020-05-15,39
2020-05-22,50
2020-05-29,52
2020-06-05,66
2020-06-12,54
2020-06-19,52
2020-06-26,45
2020-07-02,50
2020-07-10,59
2020-07-17,63
2020-07-24,63
2020-07-31,65
2020-08-07,72
2020-08-14,72
2020-08-21,70
2020-08-28,78
2020-09-04,59
2020-09-11,58
2020-09-18,52
2020-09-25,49
2020-10-02,40
2020-10-09,55
2020-10-16,62
2020-10-23,67
2020-10-30,29
2020-11-06,40
2020-11-13,59
2020-11-20,62
2020-11-27,92
2020-12-04,89
2020-12-11,76
2020-12-18,63
2020-12-24,54
2020-12-31,51
2021-01-08,71
2021-01-15,60
2021-01-22,69
2021-01-29,38
2021-02-05,60
2021-02-12,73
2021-02-19,59
2021-02-26,48
2021-03-05,41
2021-03-12,53
2021-03-19,50
2021-03-26,37
2021-04-01,46
2021-04-09,47
2021-04-16,51
2021-04-23,47
2021-04-30,46
2021-05-07,48
2021-05-14,35
2021-05-21,29
2021-05-28,31
2021-06-04,41
2021-06-11,51
2021-06-18,31
2021-06-25,41
2021-07-02,38
2021-07-09,31
2021-07-16,26
2021-07-23,28
2021-07-30,25
2021-08-06,31
2021-08-13,47
2021-08-20,23
2021-08-27,47
2021-09-03,44
2021-09-10,20
2021-09-17,17
2021-09-24,23
2021-10-01,18
2021-10-08,25
2021-10-15,43
2021-10-22,59
2021-10-29,65
2021-11-05,73
2021-11-12,74
2021-11-19,62
2021-11-26,31
2021-12-03,20
2021-12-10,42
2021-12-17,32
2021-12-23,50
2021-12-31,62
2022-01-07,49
2022-01-14,55
2022-01-21,26
2022-01-28,23
2022-02-04,27
2022-02-11,28
2022-02-18,29
2022-02-25,28
2022-03-04,18
2022-03-11,19
2022-03-18,38
2022-03-25,49
2022-04-01,59
2022-04-08,46
2022-04-14,39
2022-04-22,31
2022-04-29,14
2022-05-06,12
2022-05-13,11
2022-05-20,12
2022-05-27,29
2022-06-03,35
2022-06-10,40
2022-06-17,16
2022-06-24,30
2022-07-01,24
2022-07-08,31
2022-07-15,33
2022-07-22,42
2022-07-29,52
2022-08-05,63
2022-08-12,68
2022-08-19,63
2022-08-26,55
2022-09-02,42
2022-09-09,43
2022-09-16,35
2022-09-23,21
2022-09-30,16
2022-10-07,19
2022-10-14,16
2022-10-21,43
2022-10-28,57
2022-11-04,56
